Load (N),Strain (%)
-1.743063331,3.319296599
-2.975575626,3.338490047
-4.043150693,3.358937447
-2.978928387,3.380912559
-4.482921213,3.399328538
-1.944508404,3.420060176
-2.930127084,3.440846265
-2.900976688,3.459598234
-2.946984023,3.480611015
-3.777258098,3.499386955
-2.300087363,3.52024337
-2.562440932,3.541133042
-2.732593566,3.56042539
-3.422796726,3.580980182
-2.848636359,3.601593315
-2.489704639,3.620741996
-3.998540342,3.640839753
-3.622565418,3.663547805
-3.659259528,3.683447683
-3.230106086,3.702136073
-3.294460475,3.723940055
-3.528501838,3.74159309
-5.099270493,3.763261898
-3.373716027,3.78170542
-3.029499203,3.802588583
-2.533290535,3.822647208
-2.753920853,3.843176443
-3.502517939,3.864204225
-3.051105887,3.883608491
-2.681370825,3.90286393
-1.371279359,3.923736933
-3.492180258,3.943920493
-3.343354911,3.964443854
-4.456005991,3.983647144
-2.751499414,4.003270403
-3.269780427,4.023901633
-2.406444401,4.045806658
-3.101211041,4.064931447
-2.323556691,4.084625428
-1.87670812,4.106669596
-3.833509982,4.125632541
-3.435183316,4.145658703
-4.146341234,4.166158092
-5.145277828,4.185743886
-2.543628216,4.206287487
-3.559421748,4.225712628
-2.681277692,4.246785257
-3.408454359,4.266661957
-3.292784095,4.286710026
-2.753827721,4.30768185
-3.420095891,4.328219895
-2.826936543,4.346602139
-3.146287054,4.368263963
-3.419909626,4.390287493
-3.993697464,4.407995455
-1.275539398,4.428500401
-3.754440695,4.449660897
-3.810226917,4.468594792
-2.223718911,4.488606031
-3.476347774,4.507083524
-2.367142588,4.528062413
-4.597939551,4.550631641
-3.813952208,4.568647653
-3.342609853,4.589578679
-2.904701978,4.609739141
-3.312900662,4.629977866
-3.4336932,4.649172902
-3.26288864,4.672400061
-3.574509174,4.689525417
-1.829769462,4.710414057
-3.449246287,4.730717949
-2.56979838,4.750070224
-3.947503865,4.771002837
-4.215538502,4.791703916
-2.606306225,4.812645975
-2.294313163,4.831469778
-2.423301339,4.851608492
-3.907550126,4.871473048
-3.594346344,4.891927908
-3.303773701,4.911271929
-3.196112812,4.933562395
-1.616496593,4.951149073
-3.467779607,4.973266583
-2.784654498,4.994531932
-3.56156379,5.012339508
-3.153085709,5.032961055
-3.422051668,5.056100268
-4.246085882,5.073023855
-1.814961433,5.091824877
-2.875551581,5.115254123
-3.506988287,5.134494878
-4.457961768,5.153883189
-3.364495933,5.175131155
-1.587346196,5.195170334
-2.490915358,5.214861775
-3.318674862,5.233028757
-3.833603114,5.2551192
-3.720633686,5.275062733
-5.369260907,5.294385878
-2.034194767,5.314934162
-3.070477396,5.337843587
-3.550481051,5.354752808
-2.966076136,5.375145757
-2.5363639,5.396574934
-3.036297858,5.416988203
-1.756753772,5.435371162
-4.549510777,5.455324061
-3.783218563,5.47725909
-3.927480429,5.498555951
-1.761410385,5.518020858
-2.359692007,5.53710977
-4.570465535,5.557778306
-2.579949796,5.577067399
-3.38377431,5.598979251
-3.764871508,5.621147005
-2.386327833,5.641227458
-3.016460687,5.661115826
-4.913844168,5.682875914
-2.615898848,5.7047453
-4.483666271,5.724781621
-3.078673035,5.744428216
-1.738220453,5.766185605
-1.95261091,5.785745444
-3.070663661,5.80879552
-4.270672798,5.827551378
-1.787673682,5.847465146
-5.348864943,5.869341279
-2.355035394,5.887348481
-4.345085472,5.907983045
-2.345070243,5.928193513
-3.589875996,5.950217123
-3.61725688,5.970316388
-1.659896225,5.991145577
-2.155639231,6.012657859
-3.279559314,6.033902571
-2.462789416,6.054833042
-3.413669765,6.075980759
-3.252085298,6.093838658
-3.151874989,6.114553628
-2.684537321,6.133981864
-4.167761654,6.157868543
-4.080310464,6.177225898
-2.287048846,6.197703778
-4.062615335,6.21917415
-3.406405449,6.239772361
-3.497675061,6.260366682
-3.097206354,6.281365176
-4.593282938,6.30048679
-2.195686102,6.321358523
-3.161747009,6.343465794
-3.670714796,6.360620042
-3.63253057,6.382516416
-3.562029451,6.402319536
-2.016872168,6.422485634
-3.438070416,6.443515956
-2.293847501,6.467414462
-3.148242831,6.485408805
-3.273133188,6.507504884
-2.781115472,6.528415114
-2.511311322,6.549136831
-1.959037036,6.566812487
-3.837049007,6.589822955
-2.542044967,6.609539796
-3.079511225,6.627339038
-2.728030086,6.649870721
-3.640446812,6.669179024
-2.829637378,6.69223029
-3.181118518,6.711052902
-3.012269735,6.733823502
-4.006456584,6.752929876
-1.444295049,6.773901939
-3.845989704,6.794531819
-2.07144767,6.81585916
-3.882870078,6.835065228
-2.049189061,6.855529773
-4.198681563,6.875517438
-2.232939005,6.897836875
-3.354996443,6.917441322
-4.890840501,6.938721276
-2.76947394,6.960659242
-2.400204539,6.982032223
-4.349462688,7.000606076
-2.252310514,7.022567298
-2.631824464,7.041830992
-2.508610487,7.060960623
-4.043616354,7.083420553
-5.117058754,7.100808081
-4.153139889,7.122986154
-2.746097744,7.143880747
-2.732779831,7.164259885
-2.213101834,7.185636596
-2.134218812,7.205646009
-4.207063466,7.225557634
-3.144331276,7.249506066
-3.013946116,7.268252002
-4.349276423,7.289964704
-2.987124026,7.308955669
-1.550652087,7.328074902
-3.497023135,7.35004041
-3.946106881,7.370518528
-4.299543798,7.391709662
-2.942699939,7.412780704
-4.37181443,7.43526778
-1.237541437,7.453687886
-1.796334982,7.474723844
-3.193784505,7.495788457
-2.770218998,7.514764023
